threshold,tp,fp,fn,tn,f2,recall,precision,flag_rate
0.6110087940750017,86497,49837,538885,827590,0.16395285272694327,0.13831066452184426,0.6344492202972113,0.09071944605069573
0.6109661915368625,86517,49842,538865,827585,0.163989208029002,0.13834264497539103,0.6344795723054584,0.09073608156459004
0.6108473756301551,86976,50085,538406,827342,0.1648153615436129,0.13907659638428993,0.6345787641998818,0.09120320679474238
0.6108179195944927,87172,50196,538210,827231,0.16516755491690466,0.13939000482904848,0.634587385708462,0.09140749090536456
0.6106992879001896,87211,50211,538171,827216,0.16523806817105288,0.13945236671346473,0.6346218218334765,0.09144342361537627
0.6101322940394891,87291,50246,538091,827181,0.16538243658265334,0.1395802885276519,0.6346728516690054,0.09151994697929011
0.6100766301763715,87708,50368,537674,827059,0.16613855714720843,0.14024708098410252,0.6352153886265535,0.09187860865885153
0.6096125263741288,87779,50407,537603,827020,0.16626611822341358,0.14036061159419363,0.6352235392876269,0.0919518049199865
0.6095789657366418,87885,50438,537497,826989,0.16645825843958617,0.14053010799799162,0.6353607136918661,0.09204296753612734
0.6092851344480346,88074,50519,537308,826908,0.16679917321971227,0.14083232328400883,0.6354866407394313,0.09222263108618593
0.609220005840166,88300,50601,537082,826826,0.16720767723729743,0.14119370240908757,0.6357045665617959,0.09242758061736388
0.6091582241183011,88431,50682,536951,826745,0.16744229904784483,0.14140317437981906,0.6356774708330638,0.09256864977518767
0.6090811989281375,88598,50801,536784,826626,0.16774034269027505,0.14167021116693476,0.6355712738254937,0.09275896005413861
0.6089764579324304,88617,50812,536765,826615,0.16777440904944685,0.1417005925978042,0.6355707923028925,0.0927789226708118
0.6087692486045921,89182,51133,536200,826294,0.168787471473513,0.1426040404105011,0.6355842212165485,0.09336848528322628
0.6082494567241936,89311,51253,536071,826174,0.169015689082742,0.1428103143358779,0.6353760564582681,0.09353417500161365
0.608227891252522,89584,51378,535798,826049,0.16950679094339052,0.14324684752679162,0.6355187922986337,0.09379901238281112
0.6077590829831185,89787,51513,535595,825914,0.1698691704492309,0.14357144913029157,0.6354352441613588,0.09402392453066225
0.6075906728235798,89823,51528,535559,825899,0.16993400000529726,0.1436290139466758,0.6354606617569031,0.09405786097900665
0.607296014178387,90390,52026,534992,825401,0.17093781108828326,0.14453565980472735,0.6346899224806202,0.09476653387090442
0.6072003975210097,90960,52377,534422,825050,0.17195584651768617,0.14544710273081093,0.6345884175055987,0.09537938620277095
0.6071141047504859,91536,52718,533846,824709,0.1729847734998575,0.14636813979295854,0.6345473955661541,0.09598957685241438
0.606276396690075,91908,52893,533474,824534,0.1736518777521616,0.14696297622892887,0.6347193734849897,0.09635356189642197
0.6062121002842249,92190,53048,533192,824379,0.17415593218289793,0.14741390062393864,0.6347512359024498,0.09664435067929457
0.6056743642684409,92304,53110,533078,824317,0.17435969507454263,0.14759618920915538,0.6347669412848832,0.09676146469711054
0.6055580016020504,92328,53120,533054,824307,0.1744027902028579,0.14763456575341152,0.6347835652604367,0.09678408899600681
0.6054585984628728,92442,53162,532940,824265,0.17460783972994168,0.14781685433862823,0.6348864042196642,0.09688789460270733
0.6052929421961473,93525,53628,531857,823799,0.17655013948452078,0.14954859589818703,0.6355629854641088,0.09791863104359902
0.6048468315094632,93735,53710,531647,823717,0.17692705814668552,0.14988439066042836,0.635728576757435,0.09811293384588461
0.6046340268419688,95314,55174,530068,822253,0.17970102744478164,0.1524092474679476,0.6333661155706767,0.1001378085971005
0.6043284561843321,95492,55278,529890,822149,0.1800174791822035,0.15269387350451405,0.6333620746832924,0.10032545719382836
0.6033519904264423,95599,55357,529783,822070,0.1802065535550827,0.1528649689309894,0.6332904952436471,0.10044922541720205
0.6032797301240186,95634,55426,529748,822001,0.18026546150401043,0.15292093472469626,0.6330861909175162,0.10051842915500239
0.6031059420838593,95670,55457,529712,821970,0.18032876495435704,0.1529784995410805,0.6330437314311804,0.10056301233223916
0.6028029116673601,95681,55465,529701,821962,0.18034820712986216,0.15299608879053123,0.6330369311791249,0.10057565532279884
0.6027183581580272,96186,55765,529196,821662,0.18124507486209615,0.15380359524258774,0.6330066929470685,0.10111131887019574
0.6026678621891886,96282,55814,529100,821613,0.18141605592955143,0.15395710141961233,0.633034399326741,0.10120780485078276
0.6024571731297848,96351,55826,529031,821601,0.18154052541635185,0.15406743398434877,0.6331508703680583,0.10126170391580035
0.6024567518545567,96443,55916,528939,821511,0.18170140627690629,0.154214544070664,0.63299837882895,0.10138281045695095
0.602376689605889,98717,57650,526665,819777,0.18570522913809612,0.1578507216389343,0.6313160705263898,0.10404981604448736
0.6013867069584317,98784,57700,526598,819727,0.18582308883481338,0.15795785615831603,0.6312722067431814,0.10412767024951275
0.6011010211655137,99002,57936,526380,819491,0.18620136575002275,0.15830644310197609,0.6308351068574851,0.10442977118183348
0.6008585134120158,99027,57938,526355,819489,0.18624649378426048,0.15834641866890956,0.6308858662759214,0.10444773753683935
0.6004948295002177,99216,58075,526166,819352,0.18657907890683795,0.15864863395492676,0.6307798920472246,0.1046646646380212
0.6003533987408588,99268,58102,526114,819325,0.18667132022364152,0.1587317831341484,0.6307936709665121,0.10471723286192723
0.6003221111566885,99416,58192,525966,819235,0.1869328985053792,0.15896843849039466,0.63078016344348,0.1048756029542011
